Sample,WingLength
E.001 ,
E.002,
E.003,
E.004,2.63
E.005,NA
E.006,2.59
E.007,3.144
E.008,2.689
E.009,3.108
E.010,3.145
E.011,3.155
E.012,3.089
E.013,2.566
E.014,2.59
E.015,3.123
E.018,3.227
E.019,3.043
E.020,3.321
E.021,2.723
E.022,3.122
E.023,3.128
E.024,3.056
E.025,NA
E.026,3.129
E.027,NA
E.028,3.217
E.029,
E.030,
E.031,
F.001,
F.002,2.647
F.003,NA
F.004,NA
F.005,2.636
F.006,
F.007,
F.008,2.543
F.009,2.655
F.010,3.221
F.011,NA
F.012,2.707
F.013,NA
F.014,2.44
F.015,2.623
F.016,3.233
F.017,2.527
F.018,3.184
F.019,3.038
F.020,2.607
F.021,2.664
F.022,NA
F.023,2.701
F.024,NA
F.025,NA
F.026,NA
F.027,NA
F.028,3.243
F.038,3.218
F.029,3.122
F.030,3.243
F.031,3.178
F.032,3.125
F.033,
F.034,
F.035,3.198
F.036,3.223
F.037,2.685
G.001,
G.002,
G.003,NA
G.004,2.37
G.005,
G.006,
G.007,2.516
G.008,
G.009,
G.010,
G.011,
G.014,
G.015,
G.016,2.701
G.017,NA
G.018,2.372
G.019,2.606
G.020,2.442
H.001,
H.002,
H.003,
H.004,
H.005,2.702
H.006,2.768
H.007,2.7
H.008,2.492
H.009,
H.010,2.8
H.011,
H.012,
H.013,
H.014,
H.015,
H.016,
H.017,
H.018,
H.019,
H.020,2.224
H.021,NA
H.022,2.248
H.023,NA
H.024,
H.025,2.365
H.026,
H.027,
I.001,2.539
I.002,NA
I.003,
I.004,
I.005,
I.006,
I.006,
I.007,
I.007,
J.001,NA
J.002,2.502
J.003,3.065
J.004,NA
J.005,
J.006,
J.006,
J.007,
J.007,
J.008,
J.008,
J.009,
J.009,
J.010,
J.010,
K.001,NA
K.002,2.347
K.003,
K.004,
L.002,
M.001,2.556
M.002,NA
M.003,NA
M.004,2.965
M.005,2.662
M.006,2.664
M.007,3.046
M.008,2.496
M.009,2.563
M.010,2.516
M.011,2.565
M.012,
M.013,
M.014,
M.015,
M.016,2.517
M.017,3.082
M.018,2.402
M.019,3.056
M.020,2.61
M.022,2.589
M.023,3.266
M.024,2.604
M.025,3.044
M.026,NA
M.027,3.13
M.028,3.086
M.029,3.166
M.030,2.81
M.031,3.129
M.032,NA
M.033,3.193
M.034,3.215
M.035,3.197
M.036,NA
M.037,3.08
M.038,2.86
M.039,3.106
M.040,
M.041,
MX.001,
MX.002,
MX.003,
MX.004,
MX.005,
MX.006,
N.001,2.468
N.002,NA
N.003,2.674
N.004,NA
N.005,NA
N.006,NA
N.007,NA
N.008,2.604
N.009,2.441
N.010,2.619
N.011,2.567
N.012,2.411
N.013,2.361
N.014,
N.015,
N.016,
N.017,
N.018,2.52
N.019,3.136
N.020,2.653
N.021,3.265
N.022,2.508
N.023,NA
N.024,NA
N.025,NA
N.026,2.415
N.027,3.264
N.028,2.551
N.029,NA
N.030,2.534
N.032,2.499
N.033,3.242
N.034,2.597
N.035,3.188
N.036,2.428
N.037,3.237
N.038,2.714
N.039,3.362
N.040,NA
N.041,3.033
N.042,
N.043,
N.044,
N.045,
NX.001,
NX.002,
NX.003,
NX.004,
NX.005,
NX.006,
O.001,NA
O.002,2.329
O.003,NA
O.004,2.458
O.005,2.281
O.006,NA
O.007,2.327
O.008,2.312
O.009,NA
O.010,NA
O.011,NA
O.012,2.355
O.013,2.838
O.014,NA
O.015,NA
O.016,NA
O.017,2.873
O.018,2.354
O.019,NA
O.020,2.638
O.022,2.88
O.023,2.299
O.024,2.779
O.025,2.196
O.026,2.446
O.027,2.325
O.028,2.56
O.029,2.32
O.030,2.622
O.031,NA
O.032,NA
O.033,2.252
O.034,2.721
O.035,2.336
O.036,2.487
O.037,NA
O.038,
O.039,
O.040,
O.041,
OX.001,
OX.002,
OX.003,
OX.004,
OX.005,
OX.006,
P.001,2.379
P.002,2.431
P.003,NA
P.004,NA
P.005,2.371
P.006,2.553
P.007,2.413
P.008,NA
P.009,2.641
P.010,2.353
P.011,2.591
P.012,2.72
P.013,2.806
P.014,2.773
P.015,2.453
P.016,2.426
P.017,NA
P.018,NA
P.019,NA
P.020,2.492
P.021,2.779
P.022,2.358
P.023,2.701
P.024,2.484
P.025,2.732
P.026,2.456
P.027,2.683
P.028,2.294
P.029,2.732
P.030,2.251
P.031,NA
P.032,2.466
P.033,2.753
P.034,NA
P.035,2.723
P.036,2.315
P.037,NA
P.038,2.452
P.039,NA
P.040,
P.041,
P.042,
P.044,
P.045,
P.046,
P.047,
P.048,
P.049,
P.050,
PX.001,
PX.002,
PX.003,
PX.004,
PX.005,
PX.006,
PX.007,
PX.008,
PX.009,
PX.010,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,