,SampleID,Treatment,Replicate,Sex,KDtime,Trial,TimeSinceEclosed,ExpRound,Count,WingLength
1,E.001,Control,E,M,48.21666667,B,24h,1,1,NA
2,E.002,Control,E,M,51.41666667,B,24h,1,1,NA
3,E.003,Control,E,M,44.41666667,E,24h,1,1,NA
4,E.004,Control,E,M,57.63333333,F,48h,1,1,2.63
5,E.005,Control,E,M,39.65,G,48h,1,1,NA
6,E.006,Control,E,M,42.36666667,G,48h,1,1,2.59
7,E.007,Control,E,F,47.21666667,H,48h,1,1,3.144
8,E.008,Control,E,M,44.65,H,48h,1,1,2.689
9,E.009,Control,E,F,41.48333333,I,48h,1,1,3.108
10,E.010,Control,E,F,43.08333333,I,48h,1,1,3.145
11,E.011,Control,E,F,59.4,J,48h,1,1,3.155
12,E.012,Control,E,F,59.95,J,48h,1,1,3.089
13,E.013,Control,E,M,54.96666667,K,48h,1,1,2.566
14,E.014,Control,E,M,NA,L,48h,1,1,2.59
15,E.015,Control,E,F,58.33333333,L,48h,1,1,3.123
16,E.016,Control,E,M,46.3,M,24h,1,1,NA
17,E.017,Control,E,F,53.56666667,M,48h,1,1,NA
18,E.018,Control,E,F,49.91666667,N,48h,1,1,3.227
19,E.019,Control,E,F,51.56666667,N,48h,1,1,3.043
20,E.020,Control,E,F,47.51666667,O,48h,1,1,3.321
21,E.021,Control,E,M,44.66666667,O,48h,1,1,2.723
22,E.022,Control,E,F,55.93333333,P,48h,1,1,3.122
23,E.023,Control,E,F,57,P,48h,1,1,3.128
24,E.024,Control,E,F,46.88333333,P,48h,1,1,3.056
25,E.025,Control,E,F,58.25,Q,48h,1,1,NA
26,E.026,Control,E,F,45.33333333,Q,48h,1,1,3.129
27,E.027,Control,E,F,40.91666667,R,48h,1,1,NA
28,E.028,Control,E,F,41.1,S,48h,1,1,3.217
29,E.029,Control,E,F,49.31666667,T,24h,1,1,NA
30,E.030,Control,E,M,55.33333333,T,24h,1,1,NA
31,E.031,Control,E,F,71.55,T,24h,1,1,NA
32,F.001,Control,F,M,NA,C,48h,1,1,NA
33,F.002,Control,F,M,54.73333333,C,48h,1,1,2.647
34,F.003,Control,F,M,66.1,C,48h,1,1,NA
35,F.004,Control,F,M,62.66666667,D,48h,1,1,NA
36,F.005,Control,F,M,66.45,D,48h,1,1,2.636
37,F.006,Control,F,F,47.6,E,24h,1,1,NA
38,F.007,Control,F,M,52.38333333,E,24h,1,1,NA
39,F.008,Control,F,M,58.93333333,F,48h,1,1,2.543
40,F.009,Control,F,M,55.3,F,48h,1,1,2.655
41,F.010,Control,F,F,61.13333333,F,48h,1,1,3.221
42,F.011,Control,F,M,51.46666667,G,48h,1,1,NA
43,F.012,Control,F,M,59.05,G,48h,1,1,2.707
44,F.013,Control,F,M,47.36666667,G,48h,1,1,NA
45,F.014,Control,F,M,49.13333333,H,48h,1,1,2.44
46,F.015,Control,F,M,57.5,H,48h,1,1,2.623
47,F.016,Control,F,F,47.88333333,I,48h,1,1,3.233
48,F.017,Control,F,M,51.73333333,I,48h,1,1,2.527
49,F.018,Control,F,F,54.38333333,J,48h,1,1,3.184
50,F.019,Control,F,F,67.46666667,J,48h,1,1,3.038
51,F.020,Control,F,M,47.61666667,K,48h,1,1,2.607
52,F.021,Control,F,M,54.41666667,K,48h,1,1,2.664
53,F.022,Control,F,F,52.8,K,48h,1,1,NA
54,F.023,Control,F,M,48.21666667,L,48h,1,1,2.701
55,F.024,Control,F,M,63.33333333,L,48h,1,1,NA
56,F.025,Control,F,F,49.03333333,M,48h,1,1,NA
57,F.026,Control,F,M,48.58333333,M,48h,1,1,NA
58,F.027,Control,F,M,47.61666667,N,48h,1,1,NA
59,F.028,Control,F,F,54.96666667,N,48h,1,1,3.243
60,F.028,Control,F,F,41.73333333,S,48h,1,1,3.243
61,F.029,Control,F,F,41.91666667,O,48h,1,1,3.122
62,F.030,Control,F,F,53.73333333,O,48h,1,1,3.243
63,F.031,Control,F,F,43.46666667,O,48h,1,1,3.178
64,F.032,Control,F,F,57.38333333,O,48h,1,1,3.125
65,F.033,Control,F,F,48.63333333,P,24h,1,1,NA
66,F.034,Control,F,F,49.91666667,P,24h,1,1,NA
67,F.035,Control,F,F,50.65,Q,48h,1,1,3.198
68,F.036,Control,F,F,39.66666667,R,48h,1,1,3.223
69,F.037,Control,F,M,44.23333333,R,48h,1,1,2.685
70,G.001,Heat-Selected,G,M,45.08333333,A,24h,1,1,NA
71,G.002,Heat-Selected,G,F,58.98333333,B,24h,1,1,NA
72,G.003,Heat-Selected,G,F,41.85,C,48h,1,1,NA
73,G.004,Heat-Selected,G,F,52.33333333,D,48h,1,1,2.37
74,G.005,Heat-Selected,G,F,40.83333333,E,24h,1,1,NA
75,G.006,Heat-Selected,G,M,46.71666667,E,24h,1,1,NA
76,G.007,Heat-Selected,G,M,58.81666667,F,48h,1,1,2.516
77,G.008,Heat-Selected,G,F,45.41666667,G,24h,1,1,NA
78,G.009,Heat-Selected,G,M,48.38333333,J,24h,1,1,NA
79,G.010,Heat-Selected,G,M,NA,K,24h,1,1,NA
80,G.011,Heat-Selected,G,F,43.78333333,L,24h,1,1,NA
81,G.012,Heat-Selected,G,F,50.03333333,M,24h,1,1,NA
82,G.013,Heat-Selected,G,F,59.1,M,24h,1,1,NA
83,G.014,Heat-Selected,G,F,49.03333333,N,24h,1,1,NA
84,G.015,Heat-Selected,G,M,56.46666667,P,24h,1,1,NA
85,G.016,Heat-Selected,G,F,47.3,Q,48h,1,1,2.701
86,G.017,Heat-Selected,G,F,56.25,Q,48h,1,1,NA
87,G.018,Heat-Selected,G,M,53.2,R,48h,1,1,2.372
88,G.019,Heat-Selected,G,F,53.83333333,S,48h,1,1,2.606
89,G.020,Heat-Selected,G,M,43.3,S,48h,1,1,2.442
90,H.001,Heat-Selected,H,M,47.06666667,A,24h,1,1,NA
91,H.002,Heat-Selected,H,F,37.83333333,B,24h,1,1,NA
92,H.003,Heat-Selected,H,M,40.46666667,B,24h,1,1,NA
93,H.004,Heat-Selected,H,M,54.51666667,B,24h,1,1,NA
94,H.005,Heat-Selected,H,F,52.56666667,C,48h,1,1,2.702
95,H.006,Heat-Selected,H,F,60.76666667,C,48h,1,1,2.768
96,H.007,Heat-Selected,H,F,58.45,D,48h,1,1,2.7
97,H.008,Heat-Selected,H,M,42.83333333,D,48h,1,1,2.492
98,H.009,Heat-Selected,H,M,39.61666667,E,24h,1,1,NA
99,H.010,Heat-Selected,H,F,51.25,F,48h,1,1,2.8
100,H.011,Heat-Selected,H,F,55.06666667,H,24h,1,1,NA
101,H.012,Heat-Selected,H,M,44.03333333,H,24h,1,1,NA
102,H.013,Heat-Selected,H,M,55.25,I,24h,1,1,NA
103,H.014,Heat-Selected,H,F,42.66666667,I,24h,1,1,NA
104,H.015,Heat-Selected,H,F,49.4,J,24h,1,1,NA
105,H.016,Heat-Selected,H,F,52.18333333,K,24h,1,1,NA
106,H.017,Heat-Selected,H,F,58.86666667,L,24h,1,1,NA
107,H.018,Heat-Selected,H,M,52.56666667,N,24h,1,1,NA
108,H.019,Heat-Selected,H,M,59.35,P,24h,1,1,NA
109,H.020,Heat-Selected,H,M,42.01666667,Q,48h,1,1,2.224
110,H.021,Heat-Selected,H,F,54.83333333,R,48h,1,1,NA
111,H.022,Heat-Selected,H,M,42.63333333,R,48h,1,1,2.248
112,H.023,Heat-Selected,H,F,44.56666667,S,48h,1,1,NA
113,H.024,Heat-Selected,H,M,40.43333333,S,24h,1,1,NA
114,H.025,Heat-Selected,H,F,44.75,T,48h,1,1,2.365
115,H.026,Heat-Selected,H,F,42.66666667,T,24h,1,1,NA
116,H.027,Heat-Selected,H,F,41.56666667,T,24h,1,1,NA
117,I.001,Control,I,M,43.96666667,U,48h,2,1,2.539
118,I.002,Control,I,M,46.31666667,W,48h,2,1,NA
119,I.003,Control,I,M,38.76666667,X,96h,2,1,NA
120,I.004,Control,I,F,46.53333333,X,96h,2,1,NA
121,I.005,Control,I,M,49.76666667,Y,96h,2,1,NA
122,J.001,Control,J,M,58.33333333,U,48h,2,1,NA
123,J.002,Control,J,M,48.96666667,U,48h,2,1,2.502
124,J.003,Control,J,F,44.03333333,V,48h,2,1,3.065
125,J.004,Heat-Selected,J,F,34.11666667,W,48h,2,1,NA
126,J.005,Control,J,M,56.48333333,X,48h,2,1,NA
127,K.001,Heat-Selected,K,F,41,U,48h,2,1,NA
128,K.002,Heat-Selected,K,M,53.43333333,V,72h,2,1,2.347
129,K.003,Heat-Selected,K,F,46.33333333,V,72h,2,1,NA
130,K.004,Heat-Selected,K,F,49,Y,48h,2,1,NA
131,L.002,Heat-Selected,L,F,33.26666667,U,48h,2,1,NA
132,M.001,Control,M,M,61.15,Z,48h,3,1,2.556
133,M.002,Control,M,M,41.33333333,AA,48h,3,1,NA
134,M.003,Control,M,M,46.66666667,AA,48h,3,1,NA
135,M.004,Control,M,F,67.61666667,AB,48h,3,1,2.965
136,M.005,Control,M,M,59.5,AB,48h,3,1,2.662
137,M.006,Control,M,M,59.83333333,AC,48h,3,1,2.664
138,M.007,Control,M,F,50.81666667,AD,72h,3,1,3.046
139,M.008,Control,M,M,58.5,AD,72h,3,1,2.496
140,M.009,Control,M,M,51.41666667,AE,72h,3,1,2.563
141,M.010,Control,M,M,41.61666667,AF,72h,3,1,2.516
142,M.011,Control,M,M,44.95,AF,72h,3,1,2.565
143,M.012,Control,M,M,40.11666667,AG,96h,3,1,NA
144,M.013,Control,M,M,40.11666667,AG,96h,3,1,NA
145,M.014,Control,M,M,35.28333333,AH,96h,3,1,NA
146,M.015,Control,M,M,44.58333333,AH,96h,3,1,NA
147,M.016,Control,M,M,50,AI,72h,3,1,2.517
148,M.017,Control,M,F,48.73333333,AI,72h,3,1,3.082
149,M.018,Control,M,M,51.71666667,AJ,72h,3,1,2.402
150,M.019,Control,M,F,48.35,AJ,72h,3,1,3.056
151,M.020,Control,M,M,39.28333333,AK,72h,3,1,2.61
152,M.022,Control,M,M,56.88333333,AL,72h,3,1,2.589
153,M.023,Control,M,F,50.5,AL,72h,3,1,3.266
154,M.024,Control,M,M,40.2,AM,72h,3,1,2.604
155,M.025,Control,M,F,46.93333333,AM,72h,3,1,3.044
156,M.026,Control,M,M,55.93333333,AN,72h,3,1,NA
157,M.027,Control,M,F,50.5,AN,72h,3,1,3.13
158,M.028,Control,M,M,41.76666667,AO,72h,3,1,3.086
159,M.029,Control,M,F,55.45,AO,72h,3,1,3.166
160,M.030,Control,M,M,33.38333333,AP,72h,3,1,2.81
161,M.031,Control,M,F,45.35,AP,72h,3,1,3.129
162,M.032,Control,M,M,41.41666667,AQ,72h,3,1,NA
163,M.033,Control,M,F,42.13333333,AQ,72h,3,1,3.193
164,M.034,Control,M,F,56.8,AR,72h,3,1,3.215
165,M.035,Control,M,F,51.58333333,AR,72h,3,1,3.197
166,M.036,Control,M,F,50.26666667,AS,72h,3,1,NA
167,M.037,Control,M,F,43.23333333,AS,72h,3,1,3.08
168,M.038,Control,M,F,33.53333333,AT,72h,3,1,2.86
169,M.039,Control,M,F,44.41666667,AT,72h,3,1,3.106
170,M.040,Control,M,M,48.76666667,AU,72h,3,1,NA
171,M.041,Control,M,F,55.71666667,AU,72h,3,1,NA
172,N.001,Control,N,M,43.8,AA,48h,3,1,2.468
173,N.002,Control,N,M,45.61666667,AA,48h,3,1,NA
174,N.003,Control,N,M,50.83333333,AA,48h,3,1,2.674
175,N.004,Control,N,F,45.05,AB,48h,3,1,NA
176,N.005,Control,N,M,61.53333333,AB,48h,3,1,NA
177,N.006,Control,N,F,50.36666667,AC,48h,3,1,NA
178,N.007,Control,N,M,45.85,AC,48h,3,1,NA
179,N.008,Control,N,M,48.13333333,AD,72h,3,1,2.604
180,N.009,Control,N,M,41.36666667,AD,72h,3,1,2.441
181,N.010,Control,N,M,52.48333333,AE,72h,3,1,2.619
182,N.011,Control,N,M,50.2,AE,72h,3,1,2.567
183,N.012,Control,N,M,51.36666667,AF,72h,3,1,2.411
184,N.013,Control,N,M,47.46666667,AF,72h,3,1,2.361
185,N.014,Control,N,M,39.5,AG,96h,3,1,NA
186,N.015,Control,N,M,38.71666667,AG,96h,3,1,NA
187,N.016,Control,N,M,38.33333333,AH,96h,3,1,NA
188,N.017,Control,N,M,40.8,AH,96h,3,1,NA
189,N.018,Control,N,M,39.93333333,AI,72h,3,1,2.52
190,N.019,Control,N,F,52.66666667,AI,72h,3,1,3.136
191,N.020,Control,N,M,49.85,AJ,72h,3,1,2.653
192,N.021,Control,N,F,46.1,AJ,72h,3,1,3.265
193,N.022,Control,N,M,43.98333333,AK,72h,3,1,2.508
194,N.023,Control,N,F,32.7,AK,72h,3,1,NA
195,N.024,Control,N,M,52.83333333,AL,72h,3,1,NA
196,N.025,Control,N,F,39,AL,72h,3,1,NA
197,N.026,Control,N,M,37.53333333,AM,72h,3,1,2.415
198,N.027,Control,N,F,54.26666667,AM,72h,3,1,3.264
199,N.028,Control,N,M,55.01666667,AN,72h,3,1,2.551
200,N.029,Control,N,F,53.76666667,AN,72h,3,1,NA
201,N.030,Control,N,M,59.48333333,AO,72h,3,1,2.534
202,N.032,Control,N,M,52.03333333,AP,72h,3,1,2.499
203,N.033,Control,N,F,44.33333333,AP,72h,3,1,3.242
204,N.034,Control,N,M,44.63333333,AQ,72h,3,1,2.597
205,N.035,Control,N,F,36.88333333,AQ,72h,3,1,3.188
206,N.036,Control,N,M,63.55,AR,72h,3,1,2.428
207,N.037,Control,N,F,39.53333333,AR,72h,3,1,3.237
208,N.038,Control,N,M,47.93333333,AS,72h,3,1,2.714
209,N.039,Control,N,F,39.3,AS,72h,3,1,3.362
210,N.040,Control,N,F,42.8,AT,72h,3,1,NA
211,N.041,Control,N,F,47.5,AT,72h,3,1,3.033
212,N.042,Control,N,M,57.3,AU,72h,3,1,NA
213,N.043,Control,N,F,45.3,AU,72h,3,1,NA
214,N.044,Control,N,F,45.88333333,AU,72h,3,1,NA
215,N.045,Control,N,F,44.53333333,AU,72h,3,1,NA
216,O.001,Heat-Selected,O,M,54.43333333,Z,48h,3,1,NA
217,O.002,Heat-Selected,O,M,59.41666667,AA,48h,3,1,2.329
218,O.003,Control,O,M,59.1,AB,48h,3,1,NA
219,O.004,Heat-Selected,O,M,54.6,AC,48h,3,1,2.458
220,O.005,Heat-Selected,O,M,49.53333333,AC,48h,3,1,2.281
221,O.006,Heat-Selected,O,M,61.76666667,AD,72h,3,1,NA
222,O.007,Heat-Selected,O,M,46.21666667,AD,72h,3,1,2.327
223,O.008,Heat-Selected,O,M,57.03333333,AE,72h,3,1,2.312
224,O.009,Heat-Selected,O,M,40.41666667,AE,72h,3,1,NA
225,O.010,Heat-Selected,O,M,40.98333333,AF,72h,3,1,NA
226,O.011,Heat-Selected,O,M,58.58333333,AF,72h,3,1,NA
227,O.012,Heat-Selected,O,M,43.41666667,AG,72h,3,1,2.355
228,O.013,Heat-Selected,O,F,41.45,AG,72h,3,1,2.838
229,O.014,Heat-Selected,O,M,39.21666667,AH,72h,3,1,NA
230,O.015,Heat-Selected,O,F,50.5,AH,72h,3,1,NA
231,O.016,Heat-Selected,O,M,47.23333333,AI,72h,3,1,NA
232,O.017,Heat-Selected,O,F,43.5,AI,72h,3,1,2.873
233,O.018,Heat-Selected,O,M,41.5,AJ,72h,3,1,2.354
234,O.019,Heat-Selected,O,M,42.01666667,AK,72h,3,1,NA
235,O.020,Heat-Selected,O,F,42.9,AK,72h,3,1,2.638
236,O.022,Heat-Selected,O,F,51.25,AL,72h,3,1,2.88
237,O.023,Heat-Selected,O,M,50.86666667,AM,72h,3,1,2.299
238,O.024,Heat-Selected,O,F,42.78333333,AM,72h,3,1,2.779
239,O.025,Heat-Selected,O,M,59.38333333,AN,72h,3,1,2.196
240,O.026,Heat-Selected,O,F,49.63333333,AN,72h,3,1,2.446
241,O.027,Heat-Selected,O,M,40.61666667,AO,72h,3,1,2.325
242,O.028,Heat-Selected,O,F,44,AO,72h,3,1,2.56
243,O.029,Heat-Selected,O,M,42.7,AP,72h,3,1,2.32
244,O.030,Heat-Selected,O,F,53.01666667,AP,72h,3,1,2.622
245,O.031,Heat-Selected,O,M,38,AQ,72h,3,1,NA
246,O.032,Heat-Selected,O,F,47.76666667,AQ,72h,3,1,NA
247,O.033,Heat-Selected,O,M,38.4,AR,72h,3,1,2.252
248,O.034,Heat-Selected,O,F,53.46666667,AR,72h,3,1,2.721
249,O.035,Heat-Selected,O,M,47.13333333,AS,72h,3,1,2.336
250,O.036,Heat-Selected,O,F,48.65,AS,72h,3,1,2.487
251,O.037,Heat-Selected,O,M,49.75,AT,72h,3,1,NA
252,O.038,Heat-Selected,O,F,38.43333333,AT,72h,3,1,NA
253,O.039,Heat-Selected,O,F,36.95,AT,72h,3,1,NA
254,O.040,Heat-Selected,O,F,49.8,AU,72h,3,1,NA
255,O.041,Heat-Selected,O,F,63.5,AU,72h,3,1,NA
256,P.001,Heat-Selected,P,M,43.93333333,Z,48h,3,1,2.379
257,P.002,Heat-Selected,P,M,49.48333333,Z,48h,3,1,2.431
258,P.003,Heat-Selected,P,M,44.96666667,Z,72h,3,1,NA
259,P.004,Heat-Selected,P,M,63.58333333,Z,48h,3,1,NA
260,P.005,Heat-Selected,P,M,52.83333333,Z,72h,3,1,2.371
261,P.006,Heat-Selected,P,M,47.5,Z,72h,3,1,2.553
262,P.007,Heat-Selected,P,M,51.98333333,AA,72h,3,1,2.413
263,P.008,Heat-Selected,P,M,54.75,AA,72h,3,1,NA
264,P.009,Heat-Selected,P,F,44.01666667,AB,48h,3,1,2.641
265,P.010,Heat-Selected,P,M,41.6,AB,48h,3,1,2.353
266,P.011,Heat-Selected,P,F,43.4,AB,48h,3,1,2.591
267,P.012,Heat-Selected,P,F,51.5,AC,48h,3,1,2.72
268,P.013,Heat-Selected,P,F,41.38333333,AC,48h,3,1,2.806
269,P.014,Heat-Selected,P,F,42.46666667,AD,72h,3,1,2.773
270,P.015,Heat-Selected,P,M,62.36666667,AD,72h,3,1,2.453
271,P.016,Heat-Selected,P,M,45.7,AE,72h,3,1,2.426
272,P.017,Heat-Selected,P,M,41.51666667,AE,72h,3,1,NA
273,P.018,Heat-Selected,P,M,52.06666667,AF,72h,3,1,NA
274,P.019,Heat-Selected,P,M,64.81666667,AF,72h,3,1,NA
275,P.020,Heat-Selected,P,M,50.01666667,AG,72h,3,1,2.492
276,P.021,Heat-Selected,P,F,41.98333333,AG,72h,3,1,2.779
277,P.022,Heat-Selected,P,M,45.03333333,AH,72h,3,1,2.358
278,P.023,Heat-Selected,P,F,36.28333333,AH,72h,3,1,2.701
279,P.024,Heat-Selected,P,M,41.06666667,AI,72h,3,1,2.484
280,P.025,Heat-Selected,P,F,44.28333333,AI,72h,3,1,2.732
281,P.026,Heat-Selected,P,M,35.23333333,AJ,72h,3,1,2.456
282,P.027,Heat-Selected,P,F,49.11666667,AJ,72h,3,1,2.683
283,P.028,Heat-Selected,P,M,30.53333333,AK,72h,3,1,2.294
284,P.029,Heat-Selected,P,F,38.35,AK,72h,3,1,2.732
285,P.030,Heat-Selected,P,M,25.4,AL,72h,3,1,2.251
286,P.031,Heat-Selected,P,F,39.95,AL,72h,3,1,NA
287,P.032,Heat-Selected,P,M,45.36666667,AM,72h,3,1,2.466
288,P.033,Heat-Selected,P,F,49.4,AM,72h,3,1,2.753
289,P.034,Heat-Selected,P,M,47.33333333,AN,72h,3,1,NA
290,P.035,Heat-Selected,P,F,32.01666667,AN,72h,3,1,2.723
291,P.036,Heat-Selected,P,M,58,AO,72h,3,1,2.315
292,P.037,Heat-Selected,P,F,36.38333333,AO,72h,3,1,NA
293,P.038,Heat-Selected,P,M,47.78333333,AP,72h,3,1,2.452
294,P.039,Heat-Selected,P,F,47.05,AP,72h,3,1,NA
295,P.040,Heat-Selected,P,F,59.81666667,AQ,72h,3,1,NA
296,P.041,Heat-Selected,P,F,34.9,AQ,72h,3,1,NA
297,P.042,Heat-Selected,P,F,51.58333333,AR,72h,3,1,NA
298,P.044,Heat-Selected,P,F,40.95,AS,72h,3,1,NA
299,P.045,Heat-Selected,P,F,39.28333333,AT,72h,3,1,NA
300,P.046,Heat-Selected,P,M,21.81666667,AU,72h,3,1,NA
301,P.047,Heat-Selected,P,F,19.78333333,AU,72h,3,1,NA
302,P.048,Heat-Selected,P,F,33.05,AU,72h,3,1,NA
303,P.049,Heat-Selected,P,F,42.28333333,AU,72h,3,1,NA
304,P.050,Heat-Selected,P,F,20.86666667,AU,72h,3,1,NA