Treatment,Round,Replicate,TotalLarvae,TotalPupae,TotalAdults,Used,LarvalSurvival,PupalSurvival,FulllSurvival
Control,1,E,37,34,34,16,0.918918919,1,0.918918919
Control,1,F,43,39,38,28,0.906976744,0.974358974,0.88372093
Heat-selected,1,G,78,34,21,8,0.435897436,0.617647059,0.269230769
Heat-selected,1,H,77,42,28,10,0.545454545,0.666666667,0.363636364
Control,2,I,23,9,8,1,0.391304348,0.888888889,0.347826087
Control,2,J,28,11,11,3,0.392857143,1,0.392857143
Heat-selected,2,K,44,9,5,0,0.204545455,0.555555556,0.113636364
Heat-selected,2,L,53,6,1,0,0.113207547,0.166666667,0.018867925
Control,3,M,349,193,179,34,0.553008596,0.92746114,0.512893983
Control,3,N,310,168,153,40,0.541935484,0.910714286,0.493548387
Heat-selected,3,O,866,158,117,38,0.182448037,0.740506329,0.135103926
Heat-selected,3,P,825,222,178,49,0.269090909,0.801801802,0.215757576