Sample,Treatment,Replicate,Sex,TimeSinceEclosed,Exp.Round,WingLength,Kdtime,TotalReads,MappedReads,MappedReadsPercent,MeanDepth,ForwardStrand,ForwardStrandPercent,ReverseStrand,ReverseStrandPercent,FailedQCPercent,DuplicatesPercent,PairedEndReads,PairedEndReadsPercent,ProperPairs,ProperPairsPercent,BothPairsMapped,BothPairsMappedPercent,Read1,Read2,Singletons,SingletonsPercent,HighLow
N-018,control,N,M,72h,3,2.52,39.93333333,83972464,82327033,98.04%,8.67482,42266194,50.33%,41706270,49.67%,0%,0%,83972464,100%,59486648,70.84%,81351944,96.88%,141926737,242045727,975089,1.16%,Low
N-019,control,N,F,72h,3,3.136,52.66666667,93335110,91613467,98.16%,9.70429,46937082,50.29%,46398028,49.71%,0%,0%,93335110,100%,65336513,70.00%,90573339,97.04%,146617341,246717769,1040128,1.11%,High
N-020,control,N,M,72h,3,2.653,49.85,90184215,88316783,97.93%,9.29376,45408069,50.35%,44776146,49.65%,0%,0%,90184215,100%,63232026,70.11%,87217470,96.71%,145029744,245154471,1099313,1.22%,Low
N-021,control,N,F,72h,3,3.265,46.1,74920348,73409690,97.98%,7.76586,37696347,50.32%,37224001,49.68%,0%,0%,74920348,100%,52422853,69.97%,72474684,96.74%,137409974,237510374,935006,1.25%,Low
N-022,control,N,M,72h,3,2.508,43.98333333,91630730,89384605,97.55%,9.36067,46145322,50.36%,45485408,49.64%,0%,0%,91630730,100%,63255900,69.03%,88035856,96.08%,145743834,245886896,1348749,1.47%,Low
N-023,control,N,F,72h,3,NA,32.7,81569877,79919164,97.98%,8.44421,41043614,50.32%,40526263,49.68%,0%,0%,81569877,100%,57016524,69.90%,78896294,96.72%,140738229,240831648,1022870,1.25%,Low
N-024,control,N,M,72h,3,NA,52.83333333,68791313,67499756,98.12%,7.13984,34613140,50.32%,34178173,49.68%,0%,0%,68791313,100%,48285086,70.19%,66696360,96.95%,134348196,234443117,803396,1.17%,High
N-025,control,N,F,72h,3,NA,39,74686600,73224238,98.04%,7.74043,37574686,50.31%,37111914,49.69%,0%,0%,74686600,100%,52321629,70.05%,72312206,96.82%,137294808,237391792,912032,1.22%,Low
N-026,control,N,M,72h,3,2.415,37.53333333,120401744,117910563,97.93%,12.4479,60587257,50.32%,59814487,49.68%,0%,0%,120401744,100%,83562427,69.40%,116485477,96.75%,160088175,260313569,1425086,1.18%,Low
N-027,control,N,F,72h,3,3.264,54.26666667,102529265,100255933,97.78%,10.579,51625080,50.35%,50904185,49.65%,0%,0%,102529265,100%,71897380,70.12%,98949987,96.51%,151181534,251347731,1305946,1.27%,High
N-028,control,N,M,72h,3,2.551,55.01666667,113604225,111381280,98.04%,11.747,57151034,50.31%,56453191,49.69%,0%,0%,113604225,100%,79312976,69.82%,110099072,96.91%,156712536,256891689,1282208,1.13%,High
N-029,control,N,F,72h,3,NA,53.76666667,87042055,85364504,98.07%,9.04336,43787485,50.31%,43254570,49.69%,0%,0%,87042055,100%,60877542,69.94%,84372427,96.93%,143477680,243564375,992077,1.14%,High
N-030,control,N,M,72h,3,2.534,59.48333333,98718443,96853422,98.11%,10.211,49671269,50.32%,49047174,49.68%,0%,0%,98718443,100%,69836730,70.74%,95759645,97.00%,149299738,249418705,1093777,1.11%,High
N-032,control,N,M,72h,3,2.499,52.03333333,73527401,72236510,98.24%,7.64829,36973319,50.29%,36554082,49.71%,0%,0%,73527401,100%,51208461,69.65%,71415526,97.13%,136724519,236802882,820984,1.12%,High
N-033,control,N,F,72h,3,3.242,44.33333333,86051142,84305004,97.97%,8.92927,43285520,50.30%,42765622,49.70%,0%,0%,86051142,100%,60115690,69.86%,83240056,96.73%,142982582,243068560,1064948,1.24%,Low
N-034,control,N,M,72h,3,2.597,44.63333333,90672674,88719470,97.85%,9.33754,45635650,50.33%,45037024,49.67%,0%,0%,90672674,100%,61760686,68.11%,87554558,96.56%,145289266,245383408,1164912,1.28%,Low
N-035,control,N,F,72h,3,3.188,36.88333333,93743134,92057137,98.20%,9.70929,47162921,50.31%,46580213,49.69%,0%,0%,93743134,100%,67149265,71.63%,91072941,97.15%,146802136,246940998,984196,1.05%,Low
N-036,control,N,M,72h,3,2.428,63.55,90115053,88461485,98.17%,9.33008,45334618,50.31%,44780435,49.69%,0%,0%,90115053,100%,64827186,71.94%,87491013,97.09%,145007710,245107343,970472,1.08%,High
N-037,control,N,F,72h,3,3.237,39.53333333,101246270,99408184,98.18%,10.4853,50926127,50.30%,50320143,49.70%,0%,0%,101246270,100%,73127250,72.23%,98357168,97.15%,150566751,250679519,1051016,1.04%,Low
N-038,control,N,M,72h,3,2.714,47.93333333,84131705,82554999,98.13%,8.70625,42329440,50.31%,41802265,49.69%,0%,0%,84131705,100%,60609441,72.04%,81609936,97.00%,142019949,242111756,945063,1.12%,Low
N-039,control,N,F,72h,3,3.362,39.3,104797916,102817210,98.11%,10.9079,52769538,50.35%,52028378,49.65%,0%,0%,104797916,100%,74571149,71.16%,101739552,97.08%,152340194,252457722,1077658,1.03%,Low
N-040,control,N,F,72h,3,NA,42.8,118441947,116337340,98.22%,12.2792,59608682,50.33%,58833265,49.67%,0%,0%,118441947,100%,86452715,72.99%,115196763,97.26%,159134324,259307623,1140577,0.96%,Low
N-041,control,N,F,72h,3,3.033,47.5,88055052,86149007,97.84%,9.06235,44330035,50.34%,43725017,49.66%,0%,0%,88055052,100%,61071438,69.36%,85017902,96.55%,143969871,244085181,1131105,1.28%,Low
N-042,control,N,M,72h,3,2.299,57.3,112354015,110418581,98.28%,11.6017,56559038,50.34%,55794977,49.66%,0%,0%,112354015,100%,82760321,73.66%,109353225,97.33%,156086489,256267526,1065356,0.95%,High
N-043,control,N,F,72h,3,2.576,45.3,77002866,75492828,98.04%,7.98056,38752218,50.33%,38250648,49.67%,0%,0%,77002866,100%,54748568,71.10%,74565093,96.83%,138456630,238546236,927735,1.20%,Low
N-044,control,N,F,72h,3,2.914,45.88333333,98944175,97096609,98.13%,10.2505,49786329,50.32%,49157846,49.68%,0%,0%,98944175,100%,69588393,70.33%,96026130,97.05%,149402972,249541203,1070479,1.08%,Low
N-045,control,N,F,72h,3,3.354,44.53333333,133004594,130395077,98.04%,13.7882,66918758,50.31%,66085836,49.69%,0%,0%,133004594,100%,92562920,69.59%,128931070,96.94%,166386773,266617821,1464007,1.10%,Low
O-001,heat-selected,O,M,48h,3,NA,54.43333333,64885478,63735244,98.23%,6.732,32637474,50.30%,32248004,49.70%,0%,0%,64885478,100%,45606451,70.29%,62998539,97.09%,132403448,232482030,736705,1.14%,High
O-002,heat-selected,O,M,48h,3,2.329,59.41666667,108690870,106657103,98.13%,11.2501,54684026,50.31%,54006844,49.69%,0%,0%,108690870,100%,75366240,69.34%,105469906,97.04%,154256355,254434515,1187197,1.09%,High
O-003,heat-selected,O,M,48h,3,NA,59.1,87489748,85595771,97.84%,9.05607,44079301,50.38%,43410447,49.62%,0%,0%,87489748,100%,60083378,68.67%,84499268,96.58%,143691213,243798535,1096503,1.25%,High
O-004,heat-selected,O,M,48h,3,2.458,54.6,90813271,89124601,98.14%,9.39801,45679180,50.30%,45134091,49.70%,0%,0%,90813271,100%,63642556,70.08%,88108309,97.02%,145342689,245470582,1016292,1.12%,High
O-005,heat-selected,O,M,48h,3,2.281,49.53333333,95898538,93885778,97.90%,9.87969,48289297,50.35%,47609241,49.65%,0%,0%,95898538,100%,66882360,69.74%,92698054,96.66%,147879183,248019355,1187724,1.24%,High
O-006,heat-selected,O,M,72h,3,NA,61.76666667,100423660,98439871,98.02%,10.3433,50557803,50.34%,49865857,49.66%,0%,0%,100423660,100%,72320342,72.02%,97281531,96.87%,150128308,250295352,1158340,1.15%,High
O-007,heat-selected,O,M,72h,3,2.327,46.21666667,106289300,104246758,98.08%,10.9768,53493708,50.33%,52795592,49.67%,0%,0%,106289300,100%,76277674,71.76%,103079571,96.98%,153057850,253231450,1167187,1.10%,Low
O-008,heat-selected,O,M,72h,3,2.312,57.03333333,121659828,119014295,97.83%,12.5093,61341922,50.42%,60317906,49.58%,0%,0%,121659828,100%,85523494,70.30%,117622898,96.68%,160716560,260943268,1391397,1.14%,High
O-009,heat-selected,O,M,72h,3,NA,40.41666667,102138421,100134845,98.04%,10.5794,51415934,50.34%,50722487,49.66%,0%,0%,102138421,100%,72627717,71.11%,98978028,96.91%,150987208,251151213,1156817,1.13%,Low
O-010,heat-selected,O,M,72h,3,NA,40.98333333,98215117,96354746,98.11%,10.1082,49419118,50.32%,48795999,49.68%,0%,0%,98215117,100%,69834880,71.10%,95240087,96.97%,149013930,249201187,1114659,1.13%,Low
O-011,heat-selected,O,M,72h,3,NA,58.58333333,72220572,70888882,98.16%,7.46689,36331188,50.31%,35889384,49.69%,0%,0%,72220572,100%,50498048,69.92%,70052419,97.00%,136044342,236176230,836463,1.16%,High
O-012,heat-selected,O,M,72h,3,2.355,43.41666667,100107368,98364066,98.26%,10.2883,50377112,50.32%,49730256,49.68%,0%,0%,100107368,100%,73363599,73.28%,97352371,97.25%,149977093,250130275,1011695,1.01%,Low
O-013,heat-selected,O,F,72h,3,2.838,41.45,87816035,86080202,98.02%,9.05862,44218683,50.35%,43597352,49.65%,0%,0%,87816035,100%,63863065,72.72%,85071278,96.87%,143838931,243977104,1008924,1.15%,Low
O-015,heat-selected,O,F,72h,3,NA,50.5,93749441,92317208,98.47%,9.64393,47159607,50.30%,46589834,49.70%,0%,0%,93749441,100%,71734081,76.52%,91510324,97.61%,146803560,246945881,806884,0.86%,High
O-016,heat-selected,O,M,72h,3,NA,47.23333333,90816467,89300231,98.33%,9.4072,45681083,50.30%,45135384,49.70%,0%,0%,90816467,100%,66744280,73.49%,88402465,97.34%,145348733,245467734,897766,0.99%,Low
O-017,heat-selected,O,F,72h,3,2.873,43.5,83627170,82087735,98.16%,8.65216,42075391,50.31%,41551779,49.69%,0%,0%,83627170,100%,61427051,73.45%,81164681,97.06%,141744385,241882785,923054,1.10%,Low
O-018,heat-selected,O,M,72h,3,2.354,41.5,79626884,77666482,97.54%,8.17271,40433419,50.78%,39193465,49.22%,0%,0%,79626884,100%,58001490,72.84%,76968761,96.66%,139761383,239865501,697721,0.88%,Low
O-019,heat-selected,O,M,72h,3,NA,42.01666667,115157546,113054849,98.17%,11.9223,57945385,50.32%,57212161,49.68%,0%,0%,115157546,100%,82991728,72.07%,111874389,97.15%,157502414,257655132,1180460,1.03%,Low
O-020,heat-selected,O,F,72h,3,2.638,42.9,98482767,97007807,98.50%,10.2316,49502085,50.26%,48980682,49.74%,0%,0%,98482767,100%,71863195,72.97%,96131112,97.61%,149158874,249323893,876695,0.89%,Low
O-022,heat-selected,O,F,72h,3,2.88,51.25,82643180,81135299,98.18%,8.56727,41601594,50.34%,41041586,49.66%,0%,0%,82643180,100%,60300255,72.96%,80252762,97.11%,141266652,241376528,882537,1.07%,High
O-023,heat-selected,O,M,72h,3,2.299,50.86666667,103798890,102173999,98.43%,10.8237,52176582,50.27%,51622308,49.73%,0%,0%,103798890,100%,74729046,71.99%,101208597,97.50%,151830938,251967952,965402,0.93%,High
O-024,heat-selected,O,F,72h,3,2.779,42.78333333,92680918,90847802,98.02%,9.63093,46649460,50.33%,46031458,49.67%,0%,0%,92680918,100%,64506529,69.60%,89794546,96.89%,146275975,246404943,1053256,1.14%,Low
O-025,heat-selected,O,M,72h,3,2.196,59.38333333,94620439,93110782,98.40%,9.87481,47558187,50.26%,47062252,49.74%,0%,0%,94620439,100%,66526909,70.31%,92193353,97.43%,147247928,247372511,917429,0.97%,High
O-026,heat-selected,O,F,72h,3,2.446,49.63333333,115620795,113572373,98.23%,12.0249,58149383,50.29%,57471412,49.71%,0%,0%,115620795,100%,81248625,70.27%,112396922,97.21%,157736582,257884213,1175451,1.02%,High
O-027,heat-selected,O,M,72h,3,2.325,40.61666667,133123223,130715303,98.19%,13.8438,66975184,50.31%,66148039,49.69%,0%,0%,133123223,100%,92164488,69.23%,129397489,97.20%,166451677,266671546,1317814,0.99%,Low
O-028,heat-selected,O,F,72h,3,2.56,44,80327388,78744819,98.03%,8.36234,40411993,50.31%,39915395,49.69%,0%,0%,80327388,100%,55467831,69.05%,77781978,96.83%,140116059,240211329,962841,1.20%,Low
O-030,heat-selected,O,F,72h,3,2.622,53.01666667,93801698,91869742,97.94%,9.72212,47209409,50.33%,46592289,49.67%,0%,0%,93801698,100%,64150741,68.39%,90718344,96.71%,146830377,246971321,1151398,1.23%,High
O-031,heat-selected,O,M,72h,3,NA,38,84362504,82812869,98.16%,8.76253,42436253,50.30%,41926251,49.70%,0%,0%,84362504,100%,58077585,68.84%,81877882,97.05%,142112259,242250245,934987,1.11%,Low
O-032,heat-selected,O,F,72h,3,NA,47.76666667,103207027,101651887,98.49%,10.7666,51911106,50.30%,51295921,49.70%,0%,0%,103207027,100%,76320207,73.95%,100781796,97.65%,151546840,251660187,870091,0.84%,High
O-033,heat-selected,O,M,72h,3,2.252,38.4,80051186,78565717,98.14%,8.28452,40289573,50.33%,39761613,49.67%,0%,0%,80051186,100%,57912788,72.34%,77674297,97.03%,139973163,240078023,891420,1.11%,Low
O-034,heat-selected,O,F,72h,3,2.721,53.46666667,116313575,114476541,98.42%,12.126,58487337,50.28%,57826238,49.72%,0%,0%,116313575,100%,84236198,72.42%,113441959,97.53%,158110328,258203247,1034582,0.89%,High
O-035,heat-selected,O,M,72h,3,2.336,47.13333333,116949525,115362663,98.64%,12.1609,58804462,50.28%,58145063,49.72%,0%,0%,116949525,100%,86848627,74.26%,114487272,97.89%,158398672,258550853,875391,0.75%,Low
O-036,heat-selected,O,F,72h,3,2.487,48.65,104366833,102665135,98.37%,10.7932,52540628,50.34%,51826205,49.66%,0%,0%,104366833,100%,77151416,73.92%,101746172,97.49%,152125752,252241081,918963,0.88%,High
O-037,heat-selected,O,M,72h,3,NA,49.75,84254135,82824064,98.30%,8.73764,42387978,50.31%,41866157,49.69%,0%,0%,84254135,100%,61229429,72.67%,81982783,97.30%,142084891,242169244,841281,1.00%,High
O-038,heat-selected,O,F,72h,3,2.694,38.43333333,68948164,67834600,98.38%,7.20959,34683394,50.30%,34264770,49.70%,0%,0%,68948164,100%,49558590,71.88%,67164765,97.41%,134441602,234506562,669835,0.97%,Low
O-039,heat-selected,O,F,72h,3,2.591,36.95,82959014,81890052,98.71%,8.64961,41692942,50.26%,41266072,49.74%,0%,0%,82959014,100%,60313351,72.70%,81213571,97.90%,141393827,241565187,676481,0.82%,Low
O-040,heat-selected,O,F,72h,3,NA,49.8,58640191,57585754,98.20%,6.12637,29488140,50.29%,29152051,49.71%,0%,0%,58640191,100%,40027813,68.26%,56897134,97.03%,129314609,229325582,688620,1.17%,High
O-041,heat-selected,O,F,72h,3,2.309,63.5,99058381,97463444,98.39%,10.3372,49813156,50.29%,49245225,49.71%,0%,0%,99058381,100%,71600755,72.28%,96528386,97.45%,149491091,249567290,935058,0.94%,High
P-001,heat-selected,P,M,48h,3,2.379,43.93333333,80627305,79366929,98.44%,8.40097,40550171,50.29%,40077134,49.71%,0%,0%,80627305,100%,59367701,73.63%,78621192,97.51%,140290950,240336355,745737,0.92%,Low
P-002,heat-selected,P,M,48h,3,2.431,49.48333333,80048623,78802792,98.44%,8.22204,40282723,50.32%,39765900,49.68%,0%,0%,80048623,100%,61577792,76.93%,78078060,97.54%,139968287,240080336,724732,0.91%,High
P-003,heat-selected,P,M,72h,3,NA,44.96666667,84377421,82831014,98.17%,8.73604,42488752,50.36%,41888669,49.64%,0%,0%,84377421,100%,60822958,72.08%,81949695,97.12%,142151417,242226004,881319,1.04%,Low
P-004,heat-selected,P,M,48h,3,NA,63.58333333,88228667,86819555,98.40%,9.19584,44389427,50.31%,43839240,49.69%,0%,0%,88228667,100%,63953530,72.49%,86008204,97.48%,144079437,244149230,811351,0.92%,High
P-005,heat-selected,P,M,72h,3,2.371,52.83333333,76453813,75272271,98.45%,7.98142,38440276,50.28%,38013537,49.72%,0%,0%,76453813,100%,54761360,71.63%,74533721,97.49%,138202126,238251687,738550,0.97%,High
P-006,heat-selected,P,M,72h,3,2.553,47.5,83886813,82444111,98.28%,8.71918,42216234,50.33%,41670579,49.67%,0%,0%,83886813,100%,59858747,71.36%,81596941,97.27%,141907007,241979806,847170,1.01%,High
P-007,heat-selected,P,M,72h,3,2.413,51.98333333,123843743,121953526,98.47%,12.8032,62300118,50.31%,61543625,49.69%,0%,0%,123843743,100%,91840136,74.16%,120916408,97.64%,161853344,261990399,1037118,0.84%,High
P-008,heat-selected,P,M,72h,3,NA,54.75,85407210,84090035,98.46%,8.83932,42964408,50.31%,42442802,49.69%,0%,0%,85407210,100%,63877156,74.79%,83309408,97.54%,142665911,242741299,780627,0.91%,High
P-009,heat-selected,P,F,48h,3,2.641,44.01666667,83196975,82096704,98.68%,8.60179,41859554,50.31%,41337421,49.69%,0%,0%,83196975,100%,62913449,75.62%,81458542,97.91%,141529247,241667728,638162,0.77%,Low
P-010,heat-selected,P,M,48h,3,2.353,41.6,113997019,112017832,98.26%,11.8305,57347643,50.31%,56649376,49.69%,0%,0%,113997019,100%,83105980,72.90%,110887011,97.27%,156925370,257071649,1130821,0.99%,Low
P-011,heat-selected,P,F,48h,3,2.591,43.4,77707534,76380549,98.29%,8.0967,39130653,50.36%,38576881,49.64%,0%,0%,77707534,100%,55388108,71.28%,75641755,97.34%,138832215,238875319,738794,0.95%,Low
P-012,heat-selected,P,F,48h,3,2.72,51.5,117111546,115238712,98.40%,12.167,58904778,50.30%,58206768,49.70%,0%,0%,117111546,100%,84799472,72.41%,114198836,97.51%,158497824,258613722,1039876,0.89%,High
P-013,heat-selected,P,F,48h,3,2.806,41.38333333,125661302,123758645,98.49%,13.0596,63188668,50.28%,62472634,49.72%,0%,0%,125661302,100%,92714353,73.78%,122703907,97.65%,162767069,262894233,1054738,0.84%,Low
P-014,heat-selected,P,F,72h,3,2.773,42.46666667,92988212,91757972,98.68%,9.64791,46757199,50.28%,46231013,49.72%,0%,0%,92988212,100%,70789885,76.13%,91037398,97.90%,146390168,246598044,720574,0.77%,Low
P-015,heat-selected,P,M,72h,3,2.453,62.36666667,61639393,60632376,98.37%,6.44729,31002836,50.30%,30636557,49.70%,0%,0%,61639393,100%,43705281,70.90%,60001420,97.34%,130804637,230834756,630956,1.02%,High
P-016,heat-selected,P,M,72h,3,2.426,45.7,109799039,107941972,98.31%,11.4276,55245500,50.32%,54553539,49.68%,0%,0%,109799039,100%,78335437,71.34%,106899513,97.36%,154858727,254940312,1042459,0.95%,Low
P-017,heat-selected,P,M,72h,3,NA,41.51666667,170831688,168309378,98.52%,17.8312,85895784,50.28%,84935904,49.72%,0%,0%,170831688,100%,122017122,71.43%,166988706,97.75%,185319799,285511889,1320672,0.77%,Low
P-018,heat-selected,P,M,72h,3,NA,52.06666667,93632415,91949142,98.20%,9.73992,47113168,50.32%,46519247,49.68%,0%,0%,93632415,100%,66161405,70.66%,90960524,97.15%,146789178,246843237,988618,1.06%,High
P-019,heat-selected,P,M,72h,3,NA,64.81666667,133279867,131089969,98.36%,13.8908,67034206,50.30%,66245661,49.70%,0%,0%,133279867,100%,95446627,71.61%,129895715,97.46%,166588590,266691277,1194254,0.90%,High
P-020,heat-selected,P,M,72h,3,2.492,50.01666667,140287750,138287085,98.57%,14.6709,70524784,50.27%,69762966,49.73%,0%,0%,140287750,100%,99679467,71.05%,137181549,97.79%,170040169,270247581,1105536,0.79%,High
P-021,heat-selected,P,F,72h,3,2.779,41.98333333,101250906,99504521,98.28%,10.5494,50927178,50.30%,50323728,49.70%,0%,0%,101250906,100%,71870156,70.98%,98485437,97.27%,150582978,250667928,1019084,1.01%,Low
P-022,heat-selected,P,M,72h,3,2.358,45.03333333,107617026,105722994,98.24%,11.1924,54159468,50.33%,53457558,49.67%,0%,0%,107617026,100%,76151431,70.76%,104656645,97.25%,153759067,253857959,1066349,0.99%,Low
P-023,heat-selected,P,F,72h,3,2.701,36.28333333,111406762,109468051,98.26%,11.6142,56046665,50.31%,55360097,49.69%,0%,0%,111406762,100%,78409859,70.38%,108370827,97.27%,155656012,255750750,1097224,0.98%,Low
P-024,heat-selected,P,M,72h,3,2.484,41.06666667,70473618,69011375,97.93%,7.25626,35487488,50.36%,34986130,49.64%,0%,0%,70473618,100%,48628898,69.00%,68095570,96.63%,135229504,235244114,915805,1.30%,Low
P-025,heat-selected,P,F,72h,3,2.732,44.28333333,79050704,77649275,98.23%,8.18399,39788867,50.33%,39261837,49.67%,0%,0%,79050704,100%,56798874,71.85%,76810722,97.17%,139498606,239552098,838553,1.06%,Low
P-026,heat-selected,P,M,72h,3,2.456,35.23333333,86637790,85132399,98.26%,8.9758,43595390,50.32%,43042400,49.68%,0%,0%,86637790,100%,60588918,69.93%,84233239,97.22%,143284784,243353006,899160,1.04%,Low
P-027,heat-selected,P,F,72h,3,2.683,49.11666667,68037819,66825749,98.22%,7.10012,34215424,50.29%,33822395,49.71%,0%,0%,68037819,100%,46991198,69.07%,66048701,97.08%,133997906,234039913,777048,1.14%,High
P-028,heat-selected,P,M,72h,3,2.294,30.53333333,99498922,97684011,98.18%,10.2754,50114098,50.37%,49384824,49.63%,0%,0%,99498922,100%,70688778,71.04%,96687681,97.17%,149683834,249815088,996330,1.00%,Low
P-029,heat-selected,P,F,72h,3,2.732,38.35,100802264,98893423,98.11%,10.4737,50728018,50.32%,50074246,49.68%,0%,0%,100802264,100%,68977910,68.43%,97775263,97.00%,150358867,250443397,1118160,1.11%,Low
P-030,heat-selected,P,M,72h,3,2.251,25.4,114314058,112126244,98.09%,11.8798,57517835,50.32%,56796223,49.68%,0%,0%,114314058,100%,77326999,67.64%,110864471,96.98%,157099621,257214437,1261773,1.10%,Low
P-031,heat-selected,P,F,72h,3,NA,39.95,93148313,91100380,97.80%,9.65942,46903100,50.35%,46245213,49.65%,0%,0%,93148313,100%,61905754,66.46%,89875747,96.49%,146542112,246606201,1224633,1.31%,Low
P-032,heat-selected,P,M,72h,3,2.466,45.36666667,107567583,105566653,98.14%,11.2112,54101711,50.30%,53465872,49.70%,0%,0%,107567583,100%,73379316,68.22%,104385602,97.04%,153743729,253823854,1181051,1.10%,Low
P-033,heat-selected,P,F,72h,3,2.753,49.4,87975325,86624763,98.46%,9.19584,44233265,50.28%,43742060,49.72%,0%,0%,87975325,100%,62286642,70.80%,85815569,97.55%,143962117,244013208,809194,0.92%,High
P-034,heat-selected,P,M,72h,3,NA,47.33333333,87033212,85442498,98.17%,9.0284,43808083,50.33%,43225129,49.67%,0%,0%,87033212,100%,60482629,69.49%,84501660,97.09%,143488705,243544507,940838,1.08%,Low
P-035,heat-selected,P,F,72h,3,2.723,32.01666667,87475653,85690438,97.96%,9.07586,44079811,50.39%,43395842,49.61%,0%,0%,87475653,100%,59727477,68.28%,84672703,96.80%,143704390,243771263,1017735,1.16%,Low
P-036,heat-selected,P,M,72h,3,2.315,58,88895339,87448819,98.37%,9.2621,44719038,50.31%,44176301,49.69%,0%,0%,88895339,100%,61249378,68.90%,86577185,97.39%,144390962,244504377,871634,0.98%,High
P-037,heat-selected,P,F,72h,3,NA,36.38333333,67692522,66381823,98.06%,7.03416,34076615,50.34%,33615907,49.66%,0%,0%,67692522,100%,46121836,68.13%,65565962,96.86%,133830122,233862400,815861,1.21%,Low
P-038,heat-selected,P,M,72h,3,2.452,47.78333333,77601487,76185307,98.18%,8.05747,39040147,50.31%,38561340,49.69%,0%,0%,77601487,100%,53284288,68.66%,75296999,97.03%,138782766,238818721,888308,1.14%,High
P-039,heat-selected,P,F,72h,3,NA,47.05,96829478,94978764,98.09%,10.0911,48718647,50.31%,48110831,49.69%,0%,0%,96829478,100%,66051896,68.21%,93890800,96.97%,148386233,248443245,1087964,1.12%,High
P-040,heat-selected,P,F,72h,3,2.526,59.81666667,90311837,88434435,97.92%,9.40845,45449654,50.33%,44862183,49.67%,0%,0%,90311837,100%,60248527,66.71%,87286407,96.65%,145134599,245177238,1148028,1.27%,High
P-041,heat-selected,P,F,72h,3,2.47,34.9,72032041,70807943,98.30%,7.52259,36240229,50.31%,35791812,49.69%,0%,0%,72032041,100%,48714638,67.63%,70063713,97.27%,135977735,236054306,744230,1.03%,Low
P-042,heat-selected,P,F,72h,3,2.859,51.58333333,89089536,87673363,98.41%,9.28341,44758885,50.24%,44330651,49.76%,0%,0%,89089536,100%,59447515,66.73%,86761530,97.39%,144445822,244643714,911833,1.02%,High
P-044,heat-selected,P,F,72h,3,2.69,40.95,85540404,84238889,98.48%,8.95786,42984460,50.25%,42555944,49.75%,0%,0%,85540404,100%,58756901,68.69%,83412511,97.51%,142702763,242837641,826378,0.97%,Low
P-045,heat-selected,P,F,72h,3,2.471,39.28333333,96453611,94627606,98.11%,10.0493,48515123,50.30%,47938488,49.70%,0%,0%,96453611,100%,65860452,68.28%,93511597,96.95%,148181039,248272572,1116009,1.16%,Low
P-046,heat-selected,P,M,72h,3,2.343,21.81666667,82208548,80628794,98.08%,8.54393,41373400,50.33%,40835148,49.67%,0%,0%,82208548,100%,56091047,68.23%,79676911,96.92%,141081834,241126714,951883,1.16%,Low
P-047,heat-selected,P,F,72h,3,2.465,19.78333333,51703633,50660274,97.98%,5.3842,26095367,50.47%,25608266,49.53%,0%,0%,51703633,100%,35146587,67.98%,50092734,96.88%,125838191,225865442,567540,1.10%,Low
P-048,heat-selected,P,F,72h,3,2.524,33.05,63535808,62373426,98.17%,6.63948,31977471,50.33%,31558337,49.67%,0%,0%,63535808,100%,43724409,68.82%,61680973,97.08%,131758401,231777407,692453,1.09%,Low
P-049,heat-selected,P,F,72h,3,NA,42.28333333,93541975,91848883,98.19%,9.7433,47043713,50.29%,46498262,49.71%,0%,0%,93541975,100%,64039987,68.46%,90816725,97.09%,146734680,246807295,1032158,1.10%,Low
P-050,heat-selected,P,F,72h,3,NA,20.86666667,86659420,84910373,97.98%,8.98954,43625379,50.34%,43034041,49.66%,0%,0%,86659420,100%,59117853,68.22%,83892440,96.81%,143305612,243353808,1017933,1.17%,Low