files,TotalReads,MappedReads,MappedReadsPercent,ForwardStrand,ForwardStrandPercent,ReverseStrand,ReverseStrandPercent,FailedQCPercent,DuplicatesPercent,PairedEndReads,PairedEndReadsPercent,ProperPairs,ProperPairsPercent,BothPairsMapped,BothPairsMappedPercent,Read1,Read2,Singletons,SingletonsPercent
E-010,88972171,87143349,97.94%,44915568,50.48%,44056603,49.52%,0%,0%,88972171,100%,60005399,67.44%,86260773,96.95%,144445247,244526924,882576,0.99%
E-011,91180800,89782522,98.47%,45849504,50.28%,45331296,49.72%,0%,0%,91180800,100%,61786259,67.76%,88964650,97.57%,145530685,245650115,817872,0.90%
E-012,123080899,121155283,98.44%,61867838,50.27%,61213061,49.73%,0%,0%,123080899,100%,83521951,67.86%,120062893,97.55%,161451591,261629308,1092390,0.89%
E-013,106645608,105218864,98.66%,53635297,50.29%,53010311,49.71%,0%,0%,106645608,100%,77829009,72.98%,104435822,97.93%,153238988,253406620,783042,0.73%
E-014,68013107,67121601,98.69%,34192055,50.27%,33821052,49.73%,0%,0%,68013107,100%,49815312,73.24%,66587735,97.90%,133965061,234048046,533866,0.78%
E-015,76974036,76068315,98.82%,38679700,50.25%,38294336,49.75%,0%,0%,76974036,100%,56253212,73.08%,75526429,98.12%,138427570,238546466,541886,0.70%
E-018,74255290,73386833,98.83%,37291764,50.22%,36963526,49.78%,0%,0%,74255290,100%,54245113,73.05%,72843352,98.10%,137052944,237202346,543481,0.73%
E-019,74088272,73098710,98.66%,37237899,50.26%,36850373,49.74%,0%,0%,74088272,100%,51881776,70.03%,72497266,97.85%,136999736,237088536,601444,0.81%
E-020,61114834,60299225,98.67%,30728240,50.28%,30386594,49.72%,0%,0%,61114834,100%,44065460,72.10%,59820464,97.88%,130518926,230595908,478761,0.78%
E-022,95228421,94051054,98.76%,47849840,50.25%,47378581,49.75%,0%,0%,95228421,100%,69108548,72.57%,93384988,98.06%,147553937,247674484,666066,0.70%
E-023,102024988,100732176,98.73%,51307037,50.29%,50717951,49.71%,0%,0%,102024988,100%,75702488,74.20%,100037451,98.05%,150937729,251087259,694725,0.68%
E-024,111264028,109744884,98.63%,55961090,50.30%,55302938,49.70%,0%,0%,111264028,100%,80916260,72.72%,108930325,97.90%,155542458,255721570,814559,0.73%
E-025,111881403,110188269,98.49%,56259931,50.29%,55621472,49.71%,0%,0%,111881403,100%,82996826,74.18%,109270034,97.67%,155863992,256017411,918235,0.82%
E-026,106231424,104848693,98.70%,53406661,50.27%,52824763,49.73%,0%,0%,106231424,100%,78104689,73.52%,104117937,98.01%,153037655,253193769,730756,0.69%
E-027,119205429,117566222,98.62%,59958310,50.30%,59247119,49.70%,0%,0%,119205429,100%,86506675,72.57%,116726792,97.92%,159520029,259685400,839430,0.70%
E-028,98331757,97029141,98.68%,49435646,50.27%,48896111,49.73%,0%,0%,98331757,100%,70775389,71.98%,96319871,97.95%,149108496,249223261,709270,0.72%
E-04,105284477,103496248,98.30%,52944423,50.29%,52340054,49.71%,0%,0%,105284477,100%,71097737,67.53%,102470583,97.33%,152576200,252708277,1025665,0.97%
E-05,111819591,108414093,96.95%,57718821,51.62%,54100770,48.38%,0%,0%,111819591,100%,0,0%,108414093,96.95%,155909758,255909833,0,0%
E-06,86903625,84763127,97.54%,44608972,51.33%,42294653,48.67%,0%,0%,86903625,100%,0,0%,84763127,97.54%,143451701,243451924,0,0%
E-07,78251513,75878681,96.97%,40387851,51.61%,37863662,48.39%,0%,0%,78251513,100%,0,0%,75878681,96.97%,139125723,239125790,0,0%
E-09,104809179,101706571,97.04%,54052062,51.57%,50757117,48.43%,0%,0%,104809179,100%,0,0%,101706571,97.04%,152404724,252404455,0,0%
F-002,103226543,101829581,98.65%,51890172,50.27%,51336371,49.73%,0%,0%,103226543,100%,75133791,72.79%,101068282,97.91%,151541805,251684738,761299,0.74%
F-003,90439343,89292506,98.73%,45426954,50.23%,45012389,49.77%,0%,0%,90439343,100%,65275541,72.18%,88598043,97.96%,145125462,245313881,694463,0.77%
F-005,85619893,84474707,98.66%,43016110,50.24%,42603783,49.76%,0%,0%,85619893,100%,60868370,71.09%,83786172,97.86%,142761406,242858487,688535,0.80%
F-009,81369966,80267894,98.65%,40892545,50.26%,40477421,49.74%,0%,0%,81369966,100%,58656525,72.09%,79619682,97.85%,140628813,240741153,648212,0.80%
F-011,138721784,136653647,98.51%,69773619,50.30%,68948165,49.70%,0%,0%,138721784,100%,99790767,71.94%,135593439,97.74%,169238685,269483099,1060208,0.76%
F-012,100235903,98966063,98.73%,50386047,50.27%,49849856,49.73%,0%,0%,100235903,100%,74262219,74.09%,98268491,98.04%,150043110,250192793,697572,0.70%
F-013,102963402,101527898,98.61%,51751406,50.26%,51211996,49.74%,0%,0%,102963402,100%,73793143,71.67%,100726901,97.83%,151409975,251553427,800997,0.78%
F-015,84087649,83072696,98.79%,42258560,50.26%,41829089,49.74%,0%,0%,84087649,100%,61141533,72.71%,82482261,98.09%,141989151,242098498,590435,0.70%
F-016,105204907,103947339,98.80%,52860083,50.24%,52344824,49.76%,0%,0%,105204907,100%,77178167,73.36%,103247843,98.14%,152508877,252696030,699496,0.66%
F-017,81546746,80466372,98.68%,41013836,50.29%,40532910,49.71%,0%,0%,81546746,100%,59953964,73.52%,79849433,97.92%,140713774,240832972,616939,0.76%
F-018,86065383,84944818,98.70%,43238373,50.24%,42827010,49.76%,0%,0%,86065383,100%,61998947,72.04%,84280083,97.93%,142975752,243089631,664735,0.77%
F-019,122704865,120985509,98.60%,61662863,50.25%,61042002,49.75%,0%,0%,122704865,100%,86997898,70.90%,120047654,97.83%,161274531,261430334,937855,0.76%
F-020,89199855,88031149,98.69%,44837201,50.27%,44362654,49.73%,0%,0%,89199855,100%,65676070,73.63%,87362645,97.94%,144533607,244666248,668504,0.75%
F-021,90796842,89754294,98.85%,45616692,50.24%,45180150,49.76%,0%,0%,90796842,100%,67394944,74.23%,89147459,98.18%,145304905,245491937,606835,0.67%
F-022,77410540,76534901,98.87%,38864154,50.21%,38546386,49.79%,0%,0%,77410540,100%,57403570,74.15%,75974759,98.15%,138581321,238829219,560142,0.72%
F-023,123741287,122067547,98.65%,62202597,50.27%,61538690,49.73%,0%,0%,123741287,100%,91854511,74.23%,121183539,97.93%,161786078,261955209,884008,0.71%
F-024,87341268,86234640,98.73%,43907704,50.27%,43433564,49.73%,0%,0%,87341268,100%,64723046,74.10%,85618281,98.03%,143616283,243724985,616359,0.71%
F-025,119833051,118183910,98.62%,60241784,50.27%,59591267,49.73%,0%,0%,119833051,100%,86392730,72.09%,117286846,97.88%,159832422,260000629,897064,0.75%
F-026,105675748,104143268,98.55%,53128487,50.28%,52547261,49.73%,0%,0%,105675748,100%,75465094,71.41%,103289779,97.74%,152757585,252918163,853489,0.81%
F-027,106465057,105102923,98.72%,53518991,50.27%,52946066,49.73%,0%,0%,106465057,100%,79133786,74.33%,104370083,98.03%,153174274,253290783,732840,0.69%
F-028,66272989,65396620,98.68%,33303288,50.25%,32969701,49.75%,0%,0%,66272989,100%,48657653,73.42%,64871984,97.89%,133107603,233165386,524636,0.79%
F-029,105051781,103748216,98.76%,52793695,50.25%,52258086,49.75%,0%,0%,105051781,100%,77978743,74.23%,103036999,98.08%,152460008,252591773,711217,0.68%
F-031,92105766,90998852,98.80%,46280424,50.25%,45825342,49.75%,0%,0%,92105766,100%,67627449,73.42%,90367727,98.11%,145989881,246115885,631125,0.69%
F-032,120995454,119437915,98.71%,60821808,50.27%,60173646,49.73%,0%,0%,120995454,100%,88707524,73.31%,118609152,98.03%,160396020,260599434,828763,0.68%
F-035,76570617,75660958,98.81%,38470869,50.24%,38099748,49.76%,0%,0%,76570617,100%,57178743,74.67%,75140413,98.13%,138239793,238330824,520545,0.68%
F-036,85334612,84114720,98.57%,42910309,50.28%,42424303,49.72%,0%,0%,85334612,100%,60444496,70.83%,83427555,97.77%,142626541,242708071,687165,0.81%
F-037,78419091,76789254,97.92%,39728332,50.66%,38690759,49.34%,0%,0%,78419091,100%,55102550,70.27%,76061884,96.99%,139111125,239307966,727370,0.93%
F-038,106989570,105318262,98.44%,53821829,50.31%,53167741,49.69%,0%,0%,106989570,100%,74549972,69.68%,104384052,97.56%,153404593,253584977,934210,0.87%
G-003,124882679,122927270,98.43%,62884277,50.35%,61998402,49.65%,0%,0%,124882679,100%,90384141,72.38%,121993670,97.69%,162348591,262534088,933600,0.75%
G-004,70691083,69681067,98.57%,35567205,50.31%,35123878,49.69%,0%,0%,70691083,100%,50535334,71.49%,69123211,97.78%,135311886,235379197,557856,0.79%
G-007,151424539,149363179,98.64%,76152879,50.29%,75271660,49.71%,0%,0%,151424539,100%,108197188,71.45%,148365008,97.98%,175598296,275826243,998171,0.66%
G-016,58541530,57958080,99.00%,29428801,50.27%,29112729,49.73%,0%,0%,58541530,100%,47315832,80.82%,57638578,98.46%,129230533,229310997,319502,0.55%
G-017,112571090,111423871,98.98%,56572089,50.25%,55999001,49.75%,0%,0%,112571090,100%,88770955,78.86%,110839881,98.46%,156208414,256362676,583990,0.52%
G-018,88295251,87225512,98.79%,44404793,50.29%,43890458,49.71%,0%,0%,88295251,100%,68937297,78.08%,86682598,98.17%,144076550,244218701,542914,0.61%
G-019,126428655,124426518,98.42%,63561902,50.27%,62866753,49.73%,0%,0%,126428655,100%,85769059,67.84%,123320716,97.54%,163109490,263319165,1105802,0.87%
G-020,105416004,103781045,98.45%,52982251,50.26%,52433753,49.74%,0%,0%,105416004,100%,71365850,67.70%,102841359,97.56%,152616974,252799030,939686,0.89%
H-005,113264831,111504315,98.45%,56946440,50.28%,56318391,49.72%,0%,0%,113264831,100%,77056563,68.03%,110516572,97.57%,156557489,256707342,987743,0.87%
H-006,95601389,93812072,98.13%,48120293,50.33%,47481096,49.67%,0%,0%,95601389,100%,64675259,67.65%,92794952,97.06%,147745217,247856172,1017120,1.06%
H-007,128167590,125895305,98.23%,64465276,50.30%,63702314,49.70%,0%,0%,128167590,100%,87105382,67.96%,124626392,97.24%,163971886,264195704,1268913,0.99%
H-008,105755875,103940509,98.28%,53195316,50.30%,52560559,49.70%,0%,0%,105755875,100%,71643460,67.74%,102889154,97.29%,152823738,252932137,1051355,0.99%
H-010,99082242,97550412,98.45%,49822984,50.28%,49259258,49.72%,0%,0%,99082242,100%,67644280,68.27%,96643135,97.54%,149437225,249645017,907277,0.92%
H-020,87087854,85537001,98.22%,43800133,50.29%,43287721,49.71%,0%,0%,87087854,100%,59024888,67.78%,84594429,97.14%,143493686,243594168,942572,1.08%
H-021,99204662,97254761,98.03%,49932052,50.33%,49272610,49.67%,0%,0%,99204662,100%,68648392,69.20%,96150530,96.92%,149550439,249654223,1104231,1.11%
H-022,113404177,111794178,98.58%,57066386,50.32%,56337791,49.68%,0%,0%,113404177,100%,83855434,73.94%,110983045,97.87%,156629105,256775072,811133,0.72%
H-023,101521940,100165948,98.66%,51027412,50.26%,50494528,49.74%,0%,0%,101521940,100%,71360944,70.29%,99382004,97.89%,150687264,250834676,783944,0.77%
H-025,101240619,99985756,98.76%,50858604,50.24%,50382015,49.76%,0%,0%,101240619,100%,72849070,71.96%,99254455,98.04%,150536916,250703703,731301,0.72%
I-001,124771585,122745877,98.38%,62733133,50.28%,62038452,49.72%,0%,0%,124771585,100%,85830938,68.79%,121631347,97.48%,162297257,262474328,1114530,0.89%
J-001,87829264,86420986,98.40%,44177485,50.30%,43651779,49.70%,0%,0%,87829264,100%,61828392,70.40%,85615244,97.48%,143862686,243966578,805742,0.92%
J-003,107479880,105796487,98.43%,54043534,50.28%,53436346,49.72%,0%,0%,107479880,100%,75867599,70.59%,104834711,97.54%,153663650,253816230,961776,0.89%
J-004,90974115,89600739,98.49%,45733326,50.27%,45240789,49.73%,0%,0%,90974115,100%,63377883,69.67%,88778442,97.59%,145439077,245535038,822297,0.90%
M-001,95881713,94500707,98.56%,48198971,50.27%,47682742,49.73%,0%,0%,95881713,100%,67625820,70.53%,93688690,97.71%,147875763,248005950,812017,0.85%
M-002,98902279,97289701,98.37%,49750993,50.30%,49151286,49.70%,0%,0%,98902279,100%,68604215,69.37%,96368055,97.44%,149389859,249512420,921646,0.93%
M-003,90568406,89136868,98.42%,45555482,50.30%,45012924,49.70%,0%,0%,90568406,100%,64623562,71.35%,88292687,97.49%,145219691,245348715,844181,0.93%
M-004,106479562,105015422,98.63%,53516246,50.26%,52963316,49.74%,0%,0%,106479562,100%,74204702,69.69%,104151266,97.81%,153150008,253329554,864156,0.81%
M-005,104546938,103070908,98.59%,52531898,50.25%,52015040,49.75%,0%,0%,104546938,100%,72043705,68.91%,102176444,97.73%,152160349,252386589,894464,0.86%
M-006,96308825,94913840,98.55%,48410515,50.27%,47898310,49.73%,0%,0%,96308825,100%,68268331,70.88%,94091551,97.70%,148068471,248240354,822289,0.85%
M-007,84926924,83418284,98.22%,42706289,50.29%,42220635,49.71%,0%,0%,84926924,100%,58358529,68.72%,82492858,97.13%,142416296,242510628,925426,1.09%
M-008,82360248,80803138,98.11%,41444732,50.32%,40915516,49.68%,0%,0%,82360248,100%,56846940,69.02%,79842794,96.94%,141134416,241225832,960344,1.17%
M-009,94919883,93421192,98.42%,47720683,50.27%,47199200,49.73%,0%,0%,94919883,100%,67250972,70.85%,92542772,97.50%,147399680,247520203,878420,0.93%
M-010,90511413,89069277,98.41%,45497326,50.27%,45014087,49.73%,0%,0%,90511413,100%,62715345,69.29%,88208989,97.46%,145213246,245298167,860288,0.95%
M-011,124909674,123047707,98.51%,62786230,50.27%,62123444,49.73%,0%,0%,124909674,100%,88300006,70.69%,122008613,97.68%,162383967,262525707,1039094,0.83%
M-017,59744582,58842980,98.49%,30030328,50.26%,29714254,49.74%,0%,0%,59744582,100%,42534094,71.19%,58277761,97.54%,129851374,229893208,565219,0.95%
M-018,71144193,70037049,98.44%,35765681,50.27%,35378512,49.73%,0%,0%,71144193,100%,49895106,70.13%,69363570,97.50%,135531925,235612268,673479,0.95%
M-019,77910407,76932171,98.74%,39120778,50.21%,38789629,49.79%,0%,0%,77910407,100%,55079191,70.70%,76301831,97.94%,138874680,239035727,630340,0.81%
M-020,86956394,85616018,98.46%,43714137,50.27%,43242257,49.73%,0%,0%,86956394,100%,60454749,69.52%,84806539,97.53%,143426980,243529414,809479,0.93%
M-022,156321929,153849283,98.42%,78610066,50.29%,77711863,49.71%,0%,0%,156321929,100%,109992329,70.36%,152525670,97.57%,178031837,278290092,1323613,0.85%
M-023,90047176,88365700,98.13%,45415174,50.43%,44632002,49.57%,0%,0%,90047176,100%,64685282,71.83%,87525094,97.20%,144961690,245085486,840606,0.93%
M-024,74674809,73621695,98.59%,37535552,50.27%,37139257,49.73%,0%,0%,74674809,100%,53925518,72.21%,72985290,97.74%,137305562,237369247,636405,0.85%
M-025,82051619,80699720,98.35%,41267557,50.29%,40784062,49.71%,0%,0%,82051619,100%,57385038,69.94%,79891261,97.37%,140981553,241070066,808459,0.99%
M-026,81781725,80742787,98.73%,41058033,50.20%,40723692,49.80%,0%,0%,81781725,100%,58710666,71.79%,80045159,97.88%,140738748,241042977,697628,0.85%
M-027,97196200,95857639,98.62%,48850698,50.26%,48345502,49.74%,0%,0%,97196200,100%,69004575,71.00%,95078504,97.82%,148524149,248672051,779135,0.80%
M-028,111288661,109716247,98.59%,55956541,50.28%,55332120,49.72%,0%,0%,111288661,100%,79776396,71.68%,108835211,97.80%,155569935,255718726,881036,0.79%
M-029,102621502,100939046,98.36%,51614886,50.30%,51006616,49.70%,0%,0%,102621502,100%,73448148,71.57%,99978955,97.43%,151220665,251400837,960091,0.94%
M-030,90741223,89439956,98.57%,45630489,50.29%,45110734,49.71%,0%,0%,90741223,100%,65930992,72.66%,88698674,97.75%,145303803,245437420,741282,0.82%
M-032,72951088,71935452,98.61%,36675421,50.27%,36275667,49.73%,0%,0%,72951088,100%,52700038,72.24%,71323532,97.77%,136433090,236517998,611920,0.84%
M-033,77134442,75999644,98.53%,38787920,50.29%,38346522,49.71%,0%,0%,77134442,100%,55856903,72.42%,75329746,97.66%,138519929,238614513,669898,0.87%
M-034,95701717,94323092,98.56%,48084830,50.24%,47616887,49.76%,0%,0%,95701717,100%,67914033,70.96%,93498275,97.70%,147782022,247919695,824817,0.86%
M-035,72142544,70931801,98.32%,36301615,50.32%,35840929,49.68%,0%,0%,72142544,100%,50742723,70.34%,70202946,97.31%,136029047,236113497,728855,1.01%
M-036,71596388,70584029,98.59%,35999556,50.28%,35596832,49.72%,0%,0%,71596388,100%,50978353,71.20%,69968450,97.73%,135744075,235852313,615579,0.86%
M-037,60118290,59257142,98.57%,30238249,50.30%,29880041,49.70%,0%,0%,60118290,100%,43896234,73.02%,58743162,97.71%,130023916,230094374,513980,0.85%
M-038,66764093,65780182,98.53%,33614631,50.35%,33149462,49.65%,0%,0%,66764093,100%,49306389,73.85%,65253657,97.74%,133332836,233431257,526525,0.79%
M-039,102423830,100538946,98.16%,51682952,50.46%,50740878,49.54%,0%,0%,102423830,100%,73159684,71.43%,99675676,97.32%,151136402,251287428,863270,0.84%
M-040,96750799,95134640,98.33%,48697985,50.33%,48052814,49.67%,0%,0%,96750799,100%,71442170,73.84%,94198889,97.36%,148264683,248486116,935751,0.97%
M-041,135236014,133109842,98.43%,68047903,50.32%,67188111,49.68%,0%,0%,135236014,100%,100521430,74.33%,132018331,97.62%,167511930,267724084,1091511,0.81%
N-001,101746192,100123313,98.41%,51181499,50.30%,50564693,49.70%,0%,0%,101746192,100%,75549324,74.25%,99181250,97.48%,150779685,250966507,942063,0.93%
N-002,92154762,90902340,98.64%,46331537,50.28%,45823225,49.72%,0%,0%,92154762,100%,67378160,73.11%,90174060,97.85%,146007909,246146853,728280,0.79%
N-003,111229942,109629907,98.56%,55932024,50.29%,55297918,49.72%,0%,0%,111229942,100%,82127362,73.84%,108751761,97.77%,155529268,255700674,878146,0.79%
N-004,145629476,143510983,98.55%,73278405,50.32%,72351071,49.68%,0%,0%,145629476,100%,107211551,73.62%,142456332,97.82%,172686281,272943195,1054651,0.72%
N-005,147250436,145311120,98.68%,74018999,50.27%,73231437,49.73%,0%,0%,147250436,100%,110168589,74.82%,144288129,97.99%,173524281,273726155,1022991,0.69%
N-006,90022696,88453328,98.26%,45384942,50.42%,44637754,49.59%,0%,0%,90022696,100%,65642738,72.92%,87671626,97.39%,144961199,245061497,781702,0.87%
N-007,76935794,75708442,98.40%,38691288,50.29%,38244506,49.71%,0%,0%,76935794,100%,55328963,71.92%,74971572,97.45%,138409762,238526032,736870,0.96%
N-008,97212880,95828205,98.58%,48878691,50.28%,48334189,49.72%,0%,0%,97212880,100%,71490540,73.54%,95033698,97.76%,148544933,248667947,794507,0.82%
N-009,114113508,112498546,98.58%,57382055,50.29%,56731453,49.71%,0%,0%,114113508,100%,83899455,73.52%,111608815,97.81%,156973312,257140196,889731,0.78%
N-010,83756800,82398472,98.38%,42113485,50.28%,41643315,49.72%,0%,0%,83756800,100%,62484689,74.60%,81567188,97.39%,141780304,241976496,831284,0.99%
